iter	Passed	Remaining
0	182	27235
1	185	13763
2	198	9727
3	209	7661
4	214	6229
5	219	5268
6	226	4627
7	231	4117
8	237	3713
9	242	3390
10	247	3123
11	262	3015
12	267	2815
13	273	2655
14	279	2511
15	285	2390
16	292	2287
17	305	2238
18	317	2185
19	328	2134
20	333	2049
21	338	1970
22	344	1901
23	356	1874
24	361	1808
25	363	1734
26	368	1679
27	372	1624
28	376	1572
29	383	1532
30	388	1490
31	394	1454
32	400	1421
33	406	1385
34	411	1353
35	417	1322
36	440	1345
37	445	1314
38	451	1284
39	455	1253
40	459	1221
41	464	1195
42	468	1165
43	472	1138
44	475	1109
45	478	1082
46	482	1056
47	485	1032
48	489	1008
49	493	986
50	497	965
51	500	943
52	503	921
53	506	901
54	510	881
55	514	862
56	517	844
57	521	827
58	524	809
59	529	793
60	532	777
61	536	761
62	539	744
63	542	729
64	546	714
65	550	700
66	553	686
67	557	672
68	561	658
69	564	645
70	567	631
71	571	619
72	575	606
73	578	594
74	582	582
75	585	570
76	588	558
77	592	546
78	595	534
79	598	523
80	602	512
81	605	502
82	609	492
83	613	481
84	616	471
85	620	461
86	625	453
87	629	443
88	633	434
89	636	424
90	640	415
91	644	406
92	647	397
93	651	388
94	655	379
95	659	370
96	663	362
97	666	353
98	670	345
99	673	336
100	677	328
101	680	320
102	683	311
103	686	303
104	690	295
105	693	287
106	696	279
107	699	271
108	703	264
109	707	257
110	711	249
111	715	242
112	720	235
113	723	228
114	728	221
115116	747	2116117	751	2117118	754	1118	742	193
119	746	186
120	750	179
121	753	173
122	757	166
123	760	159
124	763	152
125	766	146
126	769	139
127	772	132
128	776	126
129	779	119
130	782	113
131	786	107
132	789	100
133	792	94
134	795	88
135	798	82
136	801	76
137	805	70
138	809	64
139	812	58
140	815	52
141	818	46
142	820	40
143	823	34
144	825	28
145	828	22
146	830	16
147	833	11
148	835	5
149	837	0
